filepath,category
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer001.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer002.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer003.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer004.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer005.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer006.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer007.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer008.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer009.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer010.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer011.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer012.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer013.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer014.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer015.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer016.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer017.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer018.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer019.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer020.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer021.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer022.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer023.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer024.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer025.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer026.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer027.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer028.jpg,Blazer
/content/stylemind-colab-prep/data/raw_dataset_jpg/Blazer/blazer029.jpg,Blazer
