filepath,category
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer001.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer002.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer003.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer004.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer005.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer006.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer007.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer008.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer009.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer010.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer011.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer012.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer013.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer014.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer015.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer016.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer017.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer018.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer019.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer020.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer021.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer022.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer023.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer024.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer025.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer026.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer027.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer028.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer029.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer030.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer031.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer032.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer033.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer034.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer035.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer036.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer037.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer038.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer039.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer040.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer041.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer042.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer043.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer044.jpg,Blazer
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer045.jpg,Blazer
